"length ball and some shape away from off stump, blocked on the front foot"
"length around off, comes forward and defends"
"was that a chance? Length around off, a carrom ball to beat the bat"
"length ball, coming in with the angle this time, defended"
""
"<b>dropped.</b> Goes for the slog sweep, looking to hit it from outside off, gets a top edge but Rahmat drops it at the deep square leg boundary and parries over as well for a six"
"short of length, goes back and pulls it towards backward square leg"
"fuller on the stumps, looks to smash it towards deep midwicket, loses shape and ends up dragging it towards mid-on"
"fuller around off, looks to go inside out over extra cover but ends up slicing it towards sweeper cover"
"too full, digs it out towards extra cover"
"pitched up again, hits it towards long-off for one"
"short on middle and leg, goes back and pulls it towards deep square leg"
"full on off stump, pushed back to the bowler"
"length outside off, backs away and taps to extra cover"
"short of a length outside off, opens the face and runs it to short third man's left"
"length outside off, swept to deep backward square"
"length outside off, pushed to short fine's left off the inside edge"
"length outside off, swept to deep backward square"
"short of a length and zipping away outside off, beaten on the cut"
"short of a length outside off, chopped to sweeper cover"
"full outside off, swept along the floor to long leg"
"<b>clears long-on!</b> Good batting from Balbirnie. Afghanistan clearly in a rush to bowl out their fifth bowler, and that's whom he'll target. This is lobbed up at off stump and he gets the front leg out of the way to clear the boundary"
"length on off stump, defended on the front foot"
"full and down leg side, swept to deep backward"
"short of a length outside off, late cut to short third"
"length outside off, defended onto pad off the inside edge"
"full on middle stump, flicked to midwicket's left"
"yorker length at off stump, opens the face to guide this to short third an then sends Dockrell back as the throw comes in towards the non-striker's end"
"length on middle stump, flicked to midwicket"
"short outside off, cut to sweeper cover"
"full on middle stump, driven to long-on's left"
"full outside off, stabbed through cover on the front foot"
"full outside off, pushed to extra cover"
"googly at a length on leg stump, flicked to deep square"
"googly at a length, down leg side"
"yorker length on off stump, jammed out to extra cover"
"overpitched outside off, driven to extra cover's right. A diving save"
<b>inside edge</b> onto boot as he looks to punch through cover. Short ball spins in too much for him
"length outside off, slides past the outside edge on the forward defence"
"<b>finds the midwicket boundary</b> with a slog sweep. Full outside off, gets on the front foot and connects cleanly to go with the spin"
"length on middle stump, punched to long-on off the front foot"
"short outside off, cut to sweeper"
"length outside off, opens the face and pokes it through point"
"short of a length outside off, punched to extra cover"
"short of a length skidder outside off, under-edge on the cut"
"overpitched on off stump, driven to long-off with the turn"
"full on off stump, defended off the inside of the bat"
"googly at a length on leg stump, nudged to short fine off the front foot"
"<b>clubs him over wide long-on!</b> Sweet hit! Overpitched outside off, a slider, and he uses the pace and angle to launch this"
"full on off stump, driven to extra cover"
"length outside off, blocked on the front foot"
"short of a length just outside off, pulled to long-on's right"
"length outside off, pushed with the turn through cover"
"length on leg stump, flicked to midwicket"
"full and down leg side, swishes at it and gets something. Not sure what, but it deflects the ball past keeper and into the fine boundary. A great over ends badly for Afghanistan. <b>That's 100 for the stand</b>"
"length outside off, blocked on the front foot"
"short of a length and zipping away outside off, opens the face and is beaten"
"overpitched outside off, driven to long-off's right"
"length on leg stump, pushed to short fine off the inside half"
short and wide and cut straight to backward point
"googly at a length, keeps low at a leg stump line. Nudged through midwicket off the back foot"
"googly, back of a length and turning in at off stump. Opens the face and drops this in front of short third with soft hands"
"full outside off, steps across and sweeps to deep backward square"
"length on off, whipped to long-on on the rise"
"length on middle, blocked on the front foot"
"short of a length outside off, punched to mid-off"
"length outside off, looks to drive, is beaten on the inside edge and struck outside off"
"<b>smoked over deep midwicket!</b> God he's good at hitting there! Full outside off, gets under it and merely helps it along with the pace. Swishes under it and it flies"
"length on middle stump, punched to long-on"
"short of a length outside off, pushed to extra cover"
"length outside off, chopped to sweeper cover"
"<b>third ODI hundred</b> for Balbirnie. Flicks a full ball through square leg and completes the milestone, one that didn't seem likely when he'd come in. Didn't know which was it was going, but he's dug in, and inflicted the same sentiment on Afghanistan now. Lovely knock under pressure"
"length on leg stump, whipped through midwicket on the rise"
"length outside off, defended on the front foot"
"short of a length outside off, pulled to deep midwicket"
"full on leg stump, driven to long-on"
"short of a length outside off, punched to sweeper"
"length outside off, steps out and drills to long-off"
"short outside off, cut to backward point"
"short on leg stump, dropped into the square leg region off the back foot"
"<b>just uses the pace</b> and capitalises on the short ball. He's waited a while for some pace on the ball. This is in the corridor, just short of a length. Opens the face, drops his back shoulder and slices to the boundary"
"length on off stump, driven to extra cover"
"sweetly timed for one. Length outside off, drives on the up to sweeper's right"
"short of a length outside off, defended to point off the back foot"
"short of a length outside off, mistimed punch back at the bowler"
<b>nearly trapped in front</b> but he's managed to get an inside edge on this as it slides low and towards leg stump. Had the front leg well across. Dawlat gave chase and pulled this back at the ropes
"full outside off, swept to deep backward square's left"
<b>dropped!</b> Najib dives forward and puts down an extremely tough chance at deep midwicket. Full ball is fetched with some force with the slog sweep. Dips on the fielder and he can't hold on
"<b>oh hello!</b> Dockrell's been hiding his sixer. Uses it now to bring up a second ODI fifty. Steps out, picks this length ball from outside off and deposits it wide of long-on with a sweet hit"
"length outside off, looks to sweep, gets a top edge over keeper. Short fine with cleaning up to do again"
"<b>stumping chance sent upstairs.</b> This could be tight. Dockrell stepped out and didn't get to the pitch of this ball spinning into him. He got body on it, but it richochets off the pad and floats up for Shahzad who takes the bails off as Dockrell stretches back for the crease...<b>and he catches him short!</b> That's the breakthrough! Nabi strikes with his last ball and the partnership is cut short at 143. A superb hand from Dockrell, and a tame end, if not unlucky. He's done his part, but so has Nabi with that last ball"
"length on leg stump, clipped to deep midwicket off the back foot"
<B>leading edge</b> falls short of extra cover. This is the challenge. Coming in and having to face Rashid. Closes the face too early on a length ball
"<b>stumping missed.</b> Poynter not picking it. At all. Full ball outside off, wants to flick with the angle, is beaten on the turn. Shahzad doesn't gather the ball as he falls over outside the crease"
"<b>good catch at deep square.</b> Poynter with three of the most nervous balls he's probably faced in a while. The last of them is connected sweetly, but it's a panic-stricken release. Length outside off, swept firmly, but Zazai keeps his cool and takes this to his left on his toes"
nicely done. Short of a length ball pushed expertly through square leg with soft hands
"short outside off, cut straight to backward point"
"length outside off, gets forward and blocks down the pitch"
"full on off stump, driven to long-on"
oh superb. He's in total control. Short of a length ball turning away outside off and he slashes through it with the perfect timing to beat sweeper to his left
"length ball pushed through on leg stump, flicked to deep square"
"length ball, sliding away outside off. Blocked on the front foot"
"short of a length outside off, gets on the back foot and taps it to long-on off the back foot"
"short of a length and turning in at off stump, tapped to the bowler off the back foot"
"googly, short of a length outside off. Poked into the off side and they steal a single. Rashid not happy with the point fielder, and he has a case"
"length on off stump, pushed to deep midwicket off the back foot"
"length outside off, gets forward and flicks to short fine's right"
<b>googly</B> that he hasn't picked. But the stride is big and he gets a thick inside edge into safety as he tries to push through cover
"<b>beats outside edge and off stump!</b> Gosh that was close. Googly on middle stump, makes him defend inside the line and nearly has him"
<b>past the bowler</b> and mid-off. Long-on cleans up to his left. Wants to loft this over the infield but it comes off the toe-end
"length on off stump, tapped to extra cover on the up"
<b>clears midwicket! Again.</b> What a hit. Supremely clean. Length ball at middle stump. Drags it off the front foot and just gets it over the rope. Ireland below run a ball again
oh well bowled. Slower bouncer at an off stump line. Backs away for the upper cut but decides to let it pass
"short slower ball outside off, backs away and chops to sweeper's left"
"nice shot but won't pierce the field. Overpitched outside off, leans into the drive, won't beat mid-off to the right"
"<b>googly beats him.</b> Another length ball outside, beats the forward block"
<b>dropped.</b> Big edge as he plays inside the line of another googly. On the back foot. Shahzad can only deflect this towards short third
"<b>see ya!</b> Eighth six for Balbirnie and now he doesn't even care if it's Rashid bowling. Full and flat at middle stump, gets right under it and sweeps it over the square leg boundary. Tremendous"
"length on leg stump, nudged into the midwicket region off the back foot"
"length on off stump, defended off the inside edge on the front foot"
"googly outside off, gets low and sweeps straight to short fine...<b>where Mujeeb misfields</b> and gives them another"
"full and in at middle stump, steps across and flicks to deep square"
<B>dropped!</b> Oh no no no no. That is poor from Afghanistan. Clearly feeling the pressure. Rahmat at short fine. Slower short all at the shoulder. Waits for it and lobs it straight to the fielder with the attempted hook. That was as simple as they'll come in the 49th over of a tight game
"short of a length and in at off stump, runs the defence into his foot. They steal a single pitch side"
"<b>past extra cover</b> and past sweeper cover! Low full toss just outside off, backs away and drives into the gap. Zazai with the most laboured sprint at this. His despair is a picture of Afghanistan's despair. Run and run and run, but can't catch Balbirnie at the moment"
"<b>finds cover point!</b> That was an exquisite square drive but he couldn't pierce the infield on the off side, with all fielders in the circle"
<b>he's done it!</b> Balbirnie backs away and slices this full ball over short third to clinch the most unlikely of wins for Ireland. What an absolute monster of a knock.
