"looks to swing it away from middle stump, but it's full and down leg side"
"full on leg stump, defended towards mid on"
"full just outside off, big stride forward and defended"
"flighted outside off stump, drifts in but defended"
"short outside off but gave it a big rip this time, spins slightly away from Dilruwan but can't put it away. Cut to short cover"
"quicker ball to end the over, straight one on off middle stump, hurries the batsman, who does well to get bat to ball. Dribbles away to midwicket"
"full outside off, defended back to the bowler"
"short and wide outside off, shoulders his arms"
"full outside off stump, angles away from Chandimal, who lets it go"
"<b>That's the hundred!</b> Full on off stump and Chandimal plays an expressive cover drive. Full followthrough on that shot, and that races past extra cover for four. <b>His ninth Test century.</b>"
"back of a length outside off stump, worked towards midwicket off his back foot"
"slow and full outside off, a sort of knuckleball. Lets it go"
"full on off stump, stays low but turns sharp anyway, just past his outside edge as he tries to defend"
"back of a length on middle stump, tries to work it off his hips but straight to short leg"
"short on middle stump, punched back to the bowler"
"full and wide outside off, flighted and goes just past Dilruwan's prodding outside edge"
"full on off stump, defended"
"tossed up just outside off, defended towards cover. <b>That's 29 balls for Dilruwan and he's still on zero.</b>"
"Full on off stump, biffed back to the bowler off his back foot"
"short outside off, rocks back and punched. But straight to cover"
"full on off stump, defended with soft hands"
"full on leg stump, worked towards mid on and calls early for one"
"full on middle stump, hurries him but manages to work that towards mid wicket"
"<b>Is Dilruwan lbw? No he isn't.</b> Full on middle and it straightens on pitching. No spin and that smashes him on his front pad. <b>The umpire says out, but Dilruwan reviews.</b> The third umpire checks ultra-edge.First visuals suggest that there may be a feather from his bat's inside edge. Not sure if that's conclusive, but enough for the third umpire. <b>Dilruwan survives.</b>"
"full on leg stump, glances it fine down the leg side and the fielder inside the circle has to give it a chase"
"back of a length but wide outside off, frees his arms and cuts it in front of square. Could've been three but they seem content with two"
"full on middle, offspin, worked to Yasir Shah at midwicket, who dives to his right and defends"
"good length on middle, extra bounce after pitching, carefully played to the leg side"
"full on middle and off, driven down the ground to Shafiq"
"full on middle, worked off his toes to the fielder at backward square"
"full on off stump, front foot forward and driven straight to short cover"
<b>He's off the mark!</b> Charges down the ground and plays that over midwicket's head from middle stump. Almost gets to the boundary but the fielder retrieves that before it hits the rope
"good length just outside off, cut from close to his body to the sweeper fielder. <b>Chandimal looks exhausted.</b>"
"pushed full on leg stump, goes down the leg side as he misses the sweep"
"good length outside off, cut to point and calls quick for one. Hasan Ali throws it in quickly at the non-strikers but the bowler can't grab hold of it"
"full on middle stump, brings out the on drive to mid on"
"full on leg stump, no footwork but worked easily off his pads to backward square"
"full on middle, tapped to midwicket off the front foot"
"good length on middle stump, prods forward and clips it off his toes. But straight to midwicket once again"
"full on off stump, carves a drive out of a ball that was close to his body. Dribbles away to mid off"
"good length on leg stump, gets inside the line of the ball and punches that back to the bowler"
"good length on leg stump, spins into the right hander, who glances it towards point. <b>And that's lunch. Dilruwan congratulates his captain as they walk off.</b>"
"back of a length at middle stump, tucked to fine leg off the back foot"
"good length at off stump, inside edge onto pad as he presses forward"
"good length on off stump, defended on the front foot"
"back of a length at middle stump, whipped past mid-on off the back foot"
"short and wide outside off, looks to cut, beaten as it bounces sharply"
"back of a length at middle stump, defended off the back foot"
"good length, in at leg stump. Flicked past square leg"
"good length at middle stump, defended to mid-on"
"back of a length at leg stump, tapped to midwicket"
"full outside off, leans in and gets the drive wide of mid-off"
"good length in the corridor, slanting in, defended off the inside edge"
<b>oh that looks very close</b> but Pakistan have no reviews. Offcutter comes in sharply from a good length as he pokes forward to defend. Sneaks past the inside edge and strikes him on the back leg. Big appeal is turned down. Nigel Llong probably thought that struck him outside off. We'll see...<b>hit him in line</b> but only marginally. It would've remained not out on <b>umpire's call</b>
"short and wide, bounces over the attempted cut"
"good length at off stump, driven to short extra"
"back of a length at off stump, punched through the covers"
"short and wide, chopped off the thick outside edge through the short third man region"
"good length outside off, dabbed to short third man off the outside edge as he pushes forward"
"full on off stump, driven to long-off"
"good length at off stump, pushed to mid-on"
"good length outside off, driven straight to extra cover"
oh lovely. Picks this full one from off stump and neatly whips it past square leg
"back of a length outside off, skids low, beats the under edge on the cut"
"good length in the corridor, defended towards gully with an open face"
"good length outside off, mistimed cover drive, back at the bowler"
"full and wide outside off, driven to short extra cover. One of two stationed there but he can only parry it to mid-off"
"good length at off stump, defended on the front foot"
"good length at off stump, forward defence"
"good length outside off, left alone"
"back of a length at middle stump, pushed to midwicket off the back foot"
"tossed up at off stump, tapped to extra cover"
"good length at off stump, defended to short extra"
"short and wide outside off, there's no one at point and he slaps it through there"
"full at leg stump, driven straight to mid-on"
"good length at middle stump, flicked wide of mid-on"
"good length at off stump, defended on the front foot"
"<b>inside edge</b> into the back leg. Angled bat as this length ball comes into him, chops it on"
"good length outside off, driven to short extra"
"tossed up at leg stump, squeezed to mid-on"
"full at leg stump, flicked to midwicket"
"full at leg stump, flicked past midwicket"
"back of a length outside off, no turn, but extra bounce as he goes on the back foot to defend"
"back of a length outside off, no turn, but extra bounce as he goes on the back foot to defend"
"length outside off, defended on the front foot"
"good length, angled in at off stump and keeps low. Tapped to midwicket off the toe-end"
"offcutter, rips back in like a Murali offspinner from a length. Tucked past square leg with a closed face. Well adjusted"
"yorker just outside off, dead bats it back to the bowler"
"bouncer at middle stump, ducks under it"
"good length at off stump, forward block"
"full at leg stump, flicked to short fine leg"
"full outside leg, tickled to deep backward square"
"good length outside leg stump, pads it away"
"good length outside leg, pads it"
"length outside leg, no shot offered"
"length outside leg, no shot offered"
"length and swinging in at off, defended to extra cover"
"good length, swinging in, defended off the inside half of the bat"
"short and wide, barely reaches the batsman, who nearly chops this onto the stumps with a cut"
"overpitched on leg stump, clipped through midwicket and wide of deep square leg"
"yorker on leg stump, defended into the leg side"
"good length at off stump, defended down the pitch"
"good length at leg stump, defended on the front foot"
"good length, leg stump, forward block"
"length at leg stump, soft-handed block"
"full outside leg, dabs a sweep, straight to short fine"
"length outside leg, padded away"
"length at leg stump, pushed through midwicket"
"length at leg stump, defended to midwicket"
"full and slight swing in from outside off, driven to mid-off"
"good length at off stump, defended on the front foot"
"full toss outside off, punched to extra cover"
"good length, tailing in at leg stump. Flicked to square leg"
"good length at off stump, defended into the off side"
"good length at leg stump, defended down the pitch"
"full at leg stump, pushed to midwicket"
"good length at middle stump, defended down the pitch"
"back of a length at leg stump, cops it on the pad as he looks to nudge it behind square"
"good length at leg stump, pushed down the pitch"
"good length at leg stump, pushed through square leg off the front foot"
"short and wide, looks for an expansive slice through the off side. Not on this pitch. Beaten."
"back of a length outside off, cut to backward point"
"offcutter, length outside off. Looks to drive through mid-off, no feet. Beaten by pace too. Inside edge rolls out to deep square"
"good length, defended with an open face"
"good length outside off, pushed to extra cover"
"offcutter, good length outside off, looks for the drive and gets an inside edge to fine leg"
"good length at leg stump, defended on the front foot"
"good length down leg side, no shot"
"<b>edged</b> past first slip. Short and wide outside off, a feeble attempt at a cut. Flies past slip's outstretched right hand"
oh hello. Jumps to get low and pick this length ball from leg stump with a reverse sweep. No one at point
"and another reverse sweep. <b>Just gets it past deep-ish point.</b> This one is aerial and dipping low to his left, beats him"
"is this the switch? Steps out, meets the ball at a good length and lofts it over mid-off. Not fully controlled, but hit well enough"
"full toss outside off, punched past mid-off and his dive isn't enough"
"short one outside off, ducks under it"
"bouncer outside off, left alone again"
"<b>almost chips it to extra cover.</b> Hasan Ali's offcutter is proving very handy. That's the third time in two overs that they haven't picked it. An attempted cover drive again, this time there's no inside edge"
another offcutter. Defended off the inside edge this time
<b>big appeal</b> but this may have been going down. Slight hint of inswing from and traps him in front of middle stump as it angles down
"full on off stump, defends the first ball after the break"
"fullish outside off stump, bends his knee and cuts it. But straight to point"
"good length on middle, charges down the pitch and drives with the straight bat to mid on"
"full on leg stump, charges and effectively yorks himself in front of leg. Does well to squeeze the ball out"
"a loose ball, wide outside off, cut between point and cover for two more"
"tossed up full just outside off, comfortably defended off the front foot. No risk"
"full just outside off stump, defended off his front foot"
"good length just outside off, defended off his back foot"
"just misses the yorker length on leg stump, clipped off his toes to the sweeper fielder on the leg side"
"short on middle, raps him on the pads in front of leg stump. Amir appeals, but the umpire reckons it was going down the leg side"
"full just outside off, driven back to the bowler"
"full on middle, driven into the pitch, and over the bowler's head. Mid on runs across and retrieves"
"full outside off, no spin and easily cut to the sweeper fielder. They walk through for one"
"good length on middle, charges down the pitch and plays with the turn down the ground. Goes past the non-striker, and the diving mid-on fielder for four"
"full on off stump, driven with the bat's open face to cover"
"full and wide outside leg stump, tries the sweep but misses it as the ball goes down the leg side"
"full on leg stump, misses the sweep again but the shot wasn't in front of the stumps"
"full and wide outside leg, spins slightly into the batsman, but misses the shot once again"
"full on off stump, played with soft hands towards cover"
"full on middle, slightly slower this time. Uses his wrists to play it to midwicket"
"wide outside off, slower and stays low as well. Goes under the batsman's blade through to Sarfraz"
"good length on middle stump, he's dropped his pace in this over, worked off his hips into the gap behind square"
"good length just outside off, leaves"
"yorker on middle stump, does well to get his toes out of the way and jams his bat right in time"
"full just outside off, uses the reverse sweep to slog it over point. Rather safe"
"good length on middle, charges down the pitch and <b>dispatched!</b> Flies over long off for six"
"<b>Stumping chance?</b> The batsman charged down and missed his slog. Sarfraz was quick to dislodge the stumps but is Dilruwan in already? The bat seems to have bounced before the popping crease and then into the crease. He should be okay, but the final decision rests with the umpire. <b>Not out, decides the third umpire.</b>"
"good length just outside off, too close to his body for the cut. Sharp collection from Sarfraz"
"good length just outside off, backs away and cuts to point. Not timed well"
"back of a length just outside off stump, rocks back and punches it through cover for a single"
"slower ball to start the over, full on off stump, defended with soft hands off the front foot"
"short ball on off stump, not the pace to bother a set batsman. Ducks and gets out of the way"
"good length just outside off, opens the bat's face and taps it towards gully"
"back of a length on off stump, angles into the right hander, worked off his waist to midwicket"
"slower ball outside off, drives it on the full toss, straight to Masood at point"
"good length on off stump, driven down the ground to mid off"
"good length on off stump, too close to his body to free his arms. Biffed back to the bowler off the high part of his bat"
"back of a length just outside off, driven off his back foot to deep extra cover"
"full on middle stump and Dilruwan misses the slog-sweep. Hits his pad in front of middle and leg. <b>Haris Sohail appeals! And the umpire says out!</b> Dilruwan reviews straightaway. Replays show it pitched in line and straightened. Hit his back leg. This time there's no edge on UltraEdge. HawkEye says pitched on middle, struck him on middle and would've broken leg stump. <b>Maiden wicket for the debutant!</b> Dilruwan has to go."
"full just outside off, defended off the front foot"
"full just outside off, prods forward and defends again"
"full on off stump, spins into the left hander, tries to sweep but takes his thigh pad instead. Races down to fine leg"
"good length just outside off, tails into the batsman's body and he defends with a soft bottom hand. Calls early to get off the mark"
"slower ball on middle stump, defended to mid on"
"slow once again, back of a length outside off, Chandimal patiently defends off his back foot"
"good length on middle and leg, tries to glance that down the leg side but takes his pad instead. Sarfraz has to field that, allowing the batsmen to run"
"yorker on off stump, squeezed away to gully"
"yorker on leg stump, somehow manages to get bat to ball from outside leg stump. Dribbles away to mid on"
"full on middle stump, tapped to midwicket for one"
"<b>Reverse sweep from Rangana!</b> It's full outside off and the batsman is quick to pounce on that. Goes along the ground, and past first slip for more runs"
"full just outside off, defended off the front foot"
"full just outside off, gets close to the pitch of the ball and plays with soft hands towards point. Quick call for one"
"good length just outside off, dances down the wicket and punches straight to mid off"
"good length on middle stump, gets to the pitch of the ball by charging down and then drives to long on"
"tossed up on leg stump, driven to wide of mid on"
"back of a length just outside off stump, Herath cannot resist the reverse sweep but this time there's some extra bounce and the ball jumps in the air after striking him somewhere near his arm. It pops up and legslip runs three paces to his back to take the catch. <b>Umpire Llong raises his finger for the catch.</b> Herath reviews. <b>The third umpire says it's out too.</b> Yasir Shah falls on his back in a celebratory manner after taking his first wicket in 45 overs. Took the face of the bat's edge before hitting his arm and to the fielder."
"full just outside off, takes the inside edge off his defense and flies towards midwicket"
"short on middle, slight legspin, defended towards short leg off his back foot"
"fuller on off stump, too close to his body for him to time that cut shot at all"
"back of a length on off stump, spins away from the right hander, allowing him to free his arms. Pulled to cow corner"
"back of a length on middle, bunted back to the bowler"
"good length on middle, defended"
"back of a length on middle stump, rocks back and punches off the back foot. Goes past cover and point"
"full on off stump, gets to the pitch of the ball and caressed to long off"
"full just outside off, defended off the front foot"
"fuller on middle and leg, raps him on the pads as he tries to defend. <b>Loud appeal, but turned down.</b> Was going down leg"
"full on middle, defended with the straight bat"
"tossed up full on middle and leg, Chandimal can't resist the heave and he connects, somewhat. Goes over midwicket and falls safe near the boundary in front of cow corner. <b>And that's 150 for Chandimal.</b>"
"full on off stump, opens the bat's face and lets the turning ball hit his blade"
"full just outside off, drifts into Chandimal, defended"
"short and wide outside off, cut straight to cover"
"full on leg stump, worked straight to midwicket. <b>And that's Tea.</b>"
"short and wide outside off, slapped to sweeper cover"
"back of a length outside off, poked to point"
"good length at off stump, down the track to meet it at the pitch and drive to long-off"
"back of a length and in at leg stump, catches him on the pad as he looks to flick"
"length at middle stump, steps down and pokes it back to the bowler"
"short and wide, cut hard past extra cover. Sweeper runs a long way to his right"
"back of a length, in at leg stump. Whipped to square leg"
"length at off stump, goes down the track and pushes to mid-on"
"offcutter, good length at off stump. Watches it onto the bat, rolls his wrists, gets it down to fine leg"
that looks plumb. But it also sounded like there was an inside edge. Length ball strikes him above the knee on his back pad as he swats wildly at this. No edge on the replay. Good decision
"back of a length outside off, a belated poke at it with a flourish. Results in a thick outside edge. Only one slip in the cordon"
and he better hide. Because he has overcompensated and bowled this full and into the pads. Sandakan doesn't understand the fuss about this wicket. Flicks it fine and now has eight off two
"back of a length outside off, bunted into the covers off the back foot"
"length at off stump, defended down the pitch"
"back of a length outside off, whips aerially against the turn, down to long-on"
"back of a length outside off, chopped to cover point off the back foot"
"good length outside off, beaten as he stretches forward"
"dropped short on middle stump, swivels and goes too hard on the pull shot. Cops it on the thigh guard"
"<b>bowled him!</b> But it's a no-ball! Oh Sarfraz looks away. Behind, at no one. In annoyance. Chandimal steps out at this length ball, that smashes into middle stump. He was looking to smash it over midwicket and looked quite unruly. Survives"
"good length at middle stump, solidly defended this time"
"offcutter, good length at middle stump. Defended into the midwicket"
"good length at middle stump, flicked to deep square"
"this is dead in front. At first glance anyway. Full and swinging into leg stump. He looks to flick and is caught on the front pad. Looks close on the replay, but it can't be overturned anyway, they're out of reviews."
"<b>bowled!</b> Middle stump again. Full, swinging in and it looks sensational as it sneaks through Pradeep's defence. Abbas will be on a hat-trick the next time he bowls"
"shapes it in at middle stump, back of a length. Masood closes the face early and gets a leading edge. Sent back after taking off for a run"
"back of a length at off stump, defended on the back foot"
"back of a length at middle stump, times this back foot push nicely. It runs past mid-on...where Herath gives chase and makes him struggle on the second run. Hesitated for about three seconds before coming back for it"
"length ball wide outside off, left alone"
"back of a length on the pads, tucked past square leg"
"back of a length, slanted across off stump. Left alone"
"back of a length in the corridor, defended to point off the back foot"
"short and wide outside off, left alone"
"good length at off stump, dabs it into the covers with soft hands and takes off"
"good length in the corridor, defended back down the pitch"
"back of a length at off stump, pushed to short extra off the back foot"
"back of a length outside off, pushed to extra cover"
"back of a length at off stump, defended from the crease"
"well played, but finds square leg. Short one doesn't quite rise, he pulls it elegantly, into the turf"
"length and into middle stump, flicked to long leg"
"back of a length into the body, turned to fine leg with the angle"
"good length, into middle stump. Watchfully poked past midwicket who has to chase after his slide fails"
"good length at off stump, solidly behind the line to defend"
"short and wide outside off, left alone"
"good length at off stump, inside edge onto the boot as he defends"
"back of a length in the corridor, shuffles and defends to cover"
"short and wide outside off, nicely timed slice but backward point's dive saves the four"
"good length in the corridor, defended down the pitch"
"full outside, nice big stride to get to it. Drives through the line. Not out of the middle but it's got enough to run away to the long-off boundary"
"<b>hesitation again</b> and this time he's forced to dive. Length ball from around the wicket. Smothers the bounce and does really well to drop it into the leg side. But then he took off without calling - or, in fact, waiting for a call. Square leg was onto it quickly and couldn't hit the stumps"
"length outside off stump, tapped into the covers and this time they agree - there's a run. And they take it"
"back of a length at off stump, pushed through the covers off the back foot"
"good length on middle stump, pushed to midwicket who slides to his right"
"good length, wide outside off, makes him chase and beats the outside edge"
"back of a length outside off, stabbed to backward point"
"full at middle stump from around the wicket, defended off the inside edge"
"good length outside off, slight turn away. Pushes away from the body on the front foot"
"full and into the leg stump, pushed towards midwicket"
"good length at off stump, nicely forward to defend to extra cover"
"flat, good length, and down leg side. Slides through and he gets enough bat on it to get it down towards the fine leg boundary"
"good length at off stump, defended off the back foot"
<b>A big no ball to start off.</b> Full outside off stump and left alone
"back of a length way outside off, shoulders his arms"
"short outside off, slightly into the left hander. Just pushes at it off the back foot and flies past point"
"short outside off, but no bounce this time. Defended off the back foot from near his body"
"<b>dropped?</b> Swings into the left-hander after pitching full outside off, brings out the drive from the batsman, and takes the outside edge. Flies to gully's left but falls short of him. The Sri Lanka fielders look disappointed, though"
"full outside off, driven to cover off the front foot"
"back of a length outside off stump, rises onto him as he defends it after getting onto his toes"
"full outside off, defended"
"full outside off and spins into the batsman, charges and drives on the up. Falls just short of Herath at mid on"
"full on middle stump, prods forward and defends with soft hands"
"tossed up full on leg stump, straightened after pitching and defended"
"full on off stump, charges down the pitch and caresses the drive past short cover and mid off for four"
"full on off stump, defended"
"back of a length outside off, left alone"
"back of a length outside off, defended off his back foot"
"short outside off, punched to mid off"
"back of a length outside off, drops his hands as he watches the ball before defending"
"back of a length outside off stump, defended off the back foot towards point"
"fuller outside off, angling into the left hander, but he shoulders arms"
"short on middle, worked off his hips to midwicket"
"full outside off, charges down and inside edges his defense"
"tight line outside off stump, spins slightly away as he brings down the straight bat"
"full on middle stump, clipped off his toes to midwicket. But straight to the fielder"
"short outside off, room to cut it but can't generate enough pace. Straight to point"
"full just outside off, defended"
"good length just outside off, stays slightly as he looks to defend. Takes the outside edge but goes to second slip along the ground"
"back of a length outside off, punched off the back foot and calls early for one."
"full on middle, gets inside the line of the ball and whips it off his pads past mid on's left. Well timed."
"short outside off, stays low and defended"
"full outside off, low once again as he defends that towards point with soft hands"
full on off stump and driven to mid off. <b>And that's drinks.</b>
"Full on off stump, and spins slightly away from the left hander. The batsman was flummoxed as he played the defense down the wrong line"
"full on off once again, this time Aslam can defend it convincingly"
"back of a length outside off and he extends his arms before sweeping that from outside off and into the leg side. Not  at all timed well, but enough gaps there to earn some easy runs"
"full on middle and leg, comfortably defended off towards mid on"
"back of a length on off stump, shuffles to his left before defending that off the back foot"
"tossed up on middle, charges down and defends"
"full outside off, the bowler uses the width of the crease to get the angle in. The batsman was up to the challenge: defended off the back foot"
"good length just outside off, punched off his back foot to short cover"
"back of a length outside off, gets into the line of the ball and works it behind backward square"
"good length just outside off, prods forward and defends off his front foot"
pitched in short outside off and Aslam swivels early to get into position. Pulled over the square-leg umpire's head but there's protection at the deep
"back of a length just outside off stump, punched from top of off stump and they take off quickly for the run"
"good length on middle and leg, was going down the leg side as the batsman got his bat to it. Worked to backward square. Needs to hurry! But makes the one easily"
"<b>another chance!</b> It's full on middle stump and Aslam charges down the wicket to slog it over midwicket. The bat turns, and he can't time it well either. Goes just past the short-leg fielder waiting to pounce"
"full outside off, no spin and defended easily"
"full just outside off, spins slightly away from the left hander, defended off the front foot"
"full on middle, gets his back foot out of the way to generate extra power, but can't place the shot well enough. Straight back to the bowler, who throws it back quickly to the keeper"
"back of a length on off stump, offspin, defended back to the bowler off the back foot"
"tossed up full on off stump, Aslam chooses to defend that with soft hands"
"full on off stump, puts his front foot forward and defends from top of his head"
"back of a length on leg stump, tucked to short fine leg"
"full on off stump, defended with ease off the front foot"
"short on off and spins wide away from the left hander, cuts the ball that stays slightly low. Goes to point"
"full on middle stump, rocks back and whips it towards midwicket"
full just outside off and Aslam was waiting to play the paddle. Gets into position early and works that fine behind on the leg side. Flies past short fine leg and after that there was no stopping
"full outside off, no spin and Aslam dances down the wicket. Thwacks that over the bowler's head, in a very controlled manner, and that goes one-bounce for four to the long-on boundary"
"back of a length on middle, raises the back leg and works it to the sweeper on the leg side"
"<b>Now Masood joins in!</b> Full outside off and he pounces on that quickly. Races down the wicket, using his feet to get to the full pitch of the ball and sends that over the bowler's head once again. Completely in control. <b>Also the 50-run partnership for the openers.</b>"
"full on off stump, defended back to the bowler"
"full just outside off, left alone by the batsman"
"full just outside off stump, sharp spin away from the left hander with the new ball, left alone"
"flighted on off stump, defended with soft hands. Gets to the pitch of the delivery"
"full on off stump, anticipates no turn and paddles that to the leg side. Sweeper-fielder retrieves"
"back of a length and quick outside off stump, hurries Masood's cut shot. Can't time well"
"full outside off, gives the ball a big rip, spins away from the batsman. Shoulders his arms"
"full outside off, tries to defend but it hits his pad instead, given there was no turn this time. He played down the wrong line but impact was outside off stump. Sandakan gives you a soft appeal"
"full on off stump, bunted down the ground to long on for one"
"full on leg stump, tapped to short leg's boot"
"full on leg stump, played towards short leg once again"
"full outside off, driven back to Herath"
"full outside off and straightens after pitching. Plays down the wrong line and goes past his outside edge but the keeper is quick to remove the bails as the batsman lunged forward. <b>Time for the third umpire.</b> No, he's safe, got his foot back just in time"
"tossed up full outside off, driven down the ground to long on. He will retain strike"
"full just outside off, bat turns in his hand as he defends that towards cover"
"full on middle stump, googly from Sandakan. Bounces higher than normal this time and raps his pad. But it would've gone down the leg side"
"shuffles back, going deep into his crease and cuts the short and wide ball away past the point region. Got into position early"
"gives the ball a big rip as it falls full just outside off, defended once again"
"flatter, short on middle, punched back to Sandakan"
"full just outside off, flighted. Defended off the front foot"
"full on off stump, defended back to Herath"
"full on off stump, lunges forward and defends that with soft hands"
"full just outside off, Aslam looks happy to see Herath's bowling off with the defense"
"tossed up full on leg stump, gets his back foot out of the way and bunts it to mid on"
"full on middle stump, closes the bat's face as he works it towards the leg side"
"full on off stump, races down the pitch before driving past cover"
"full outside off, tries to play the big drive but can't get bat to ball"
short and wide outside off but it's the wrong'un. The batsman can't pick that and was playing the cut hoping for the stock ball. Comes into him instead and the batsman finds himself in all sort of a tangle
"full on off stump, prepares for the paddle shot early as he works it to the sweeper fielder on the leg side"
"pushes it wide outside off once again, and it's the googly once more. That wide line is a giveaway for the wrong'un. Unconvincingly defended"
"full outside off, left alone"
"full just outside off, prods forward and fends"
"full just outside off stump, gets into position to play the paddle sweep but misses the line this time. Raps him on the pad instead and the keeper gives out a loud appeal! But inside-edge onto the pads"
"full outside off, spins sharply into the left hander, pads it"
"full on off stump, defended off the front foot"
"pushed wide outside off stump, loopy delivery. Aslam comes down the pitch and gets bat-pad to it. Goes close to the ball's pitch to negate any extra spin"
"full on off stump, pushed to cover"
"full on off stump, defended back to Herath"
"misses the paddle sweep from outside off, hits the pad but it was outside the line"
"full on off stump, pushed to mid off"
"full outside off, googly this time and it takes the bat's inside edge. Could've easily gone straight to short leg"
"another googly, good length outside off and spins into the batsman's body. Tried the cut but was too close to play it, went just pat his blade's edge"
"full on middle stump, googly once again but goes down the leg side as it stays low. Byes"
"Full on off stump, defended off the back foot. <b>And that's stumps!</b>"
"good length at middle stump, nudged wide of mid-on"
"oh dangerous shot. No feet, chases outside off and dabs this length ball to point. Way away from the body"
"well bowled. Draws him forward this time, in the corridor. He fends at it again, away from the body, beaten on the outside edge"
"back of a length outside off, keeps low as he looks to cut. Edged into the turf in front of second slip"
"129 kph, good length, in the corridor, defended to point"
"129 kph, good length, angled across off. Left alone"
"back of a length outside off, gets deep in the crease and punches firmly. Extra cover dives to his right"
"full outside off, nicely forward to defend"
"full in the corridor, defended to extra cover"
"pushes one through and catches the pad, but this was going down leg. He was looking to whip it fine off the back foot"
"back of a length outside off, defended off the back foot"
"tossed up at off stump, gets right down and uses a big swing to find deep square with the sweep"
"full on middle stump, tapped back down the pitch"
"overpitched outside off, short stride to get to the pitch and a controlled drive wide of mid-off"
"good length in the channel, lifts off the pitch as he lets it go"
"good length, in the corridor, left alone"
"good length, angled across the stumps, left alone"
"length, in the corridor, left alone"
"short and down leg side, keeps low as he looks to swipe it to the long leg fence. He can't connect as a result"
"good length outside off, forward defence"
"good length outside off, defended on the front foot"
"good length at off stump, defended off the inside half"
"length at off stump, solidly behind it to defend"
"full outside off, looks to sweep. Pre-meditated. This wasn't the ball for that. Sneaks under this shot and rises as it turns to beat the keeper. Held on by slip"
"back of a length in the corridor, defended into the off side"
"back of a length, in the corridor, left alone"
"length, pitching outside off, angling away. Left alone"
"good length on middle stump, defended to mid-on"
"good length in the corridor, angling in at him. He defends solidly to cover"
"length and fired in at off stump, blocked on the front foot"
"full outside off stump, nice connection on the cover drive, but it's straight to the fielder"
"full at off stump, driven straight to mid-off"
"short and wide outside off, slapped firmly. Finds extra cover again"
"good length at middle stump, defended on the front foot"
"short and wide, cuts straight to cover point"
<b>wrong'un!</b> Not picked. He didn't pick it all of last evening. This one is slightly short and ripping in at off stump. Just enough time for him to adjust and keep it out on the back foot after shaping to cut
"good length outside off, left alone"
"good length outside off, might have been a cutter. It dips on the keeper as he lets it go"
<b>they've run four.</b> It's a full ball at middle stump. He pushes it to mid-on and looks to take on Rangana Herath. They haven't scored in four overs. Herath does superbly to swoop down on it and unleash a throw that would have had him in trouble if he had hit the stumps. But in the end he misses and the backing up isn't good enough
"length outside off stump, left alone"
"good length outside off stump, defended on the front foot with an open face"
"nips back in from outside off, and nearly takes the off stump. A brave leave from Aslam"
"oh glorious shot. Finally finds the gap there. This is tossed up outside off and after many balls of finding extra cover, he beats him with a nice swing"
"good length at off stump, defended on the front foot"
"full outside off, driven to mid-off"
"back of a length at off stump, defended watchfully off the back foot"
"back of a length in the corridor, defended off the back foot"
"tossed up outside off, pushed into the covers"
"back of a length in the corridor, left alone"
"good length at off stump, dabs it with soft hands past the non-striker and steals the single"
"good length outside off, leans in to defend it"
"good length outside off, left alone"
"good length at off stump, behind the line, defended into the covers"
"full at middle stump, flicked to deep square leg"
"<b>wrong'un</b> catches him off guard again. Shuffles across, pushes it into the leg side off the back foot. One of these will be fuller and he'll be in trouble"
"good length outside off, driven to short extra"
"there it is. Wrong'un, tossed up outside off. Not picked. Stretches forward to defend and cops it on the front pad. Luckily for him, there was an inside edge first"
"full at middle stump, driven to mid-on"
"short and wide outside off, cut off the toe-end to deep extra"
"another wrong'un. Picks it this time, but not the most convincing answer. Walks across his stumps and offers a half shot. Struck on the pad"
"ahhhh, offers a bait first up. Length and slightly wide outside off. He thinks about slashing at this and resists the temptation. Left alone"
"length outside off, goes after it this time, but can't time the drive. Dribbles to mid-off"
"good length outside off, well across the stumps to get behind it. Defended solidly on the front foot"
"nice looking drive, but straight to short extra. Chased another wide one"
"drops it short on middle stump, and he transfers the weight behind so quickly. Brings the bat down nicely and looks elegant as he dispatches this pull shot"
"good length outside off, defended into the off side and quickly through for the single"
"nice loopy 'lollipop', wide outside off. Only two things to do - get to the pitch, connect well. He does both, sends it to the extra cover boundary"
"full outside off, tapped off the toe-end to extra cover"
"wrong'un, goes wrong.Starts on leg, spins further down"
"oh sweet. That's a shot worthy of getting you to a landmark. A <b>half-century</b> in this case. Overpitched outside off, holds his balance and caresses it wide of mid-off"
"wrong'un, good length, leg stump. Spins down leg and he lets it"
"good length at off stump, defended on the front foot"
"good length at off stump, tapped back down the pitch"
"good length outside off, defends from inside the line"
"length at off stump, down the track, taps it to short midwicket"
"good length, pushed flat at off stump. Hangs in the crease, flicked to deep square"
"good length outside off, defended to extra cover"
"<b>dropped at slip.</b> Plays inside the line as he defends. This one goes straight through outside off and it's a thin edge. Dickwella can't really react and he might have got a glove on it - in fact, it's off his thigh -  to distract Karunaratne at slip, who is hurried as he spots this late. Grabs at it to his right and can't hold on."
"length outside off, dabbed into the covers with soft hands"
"full at off stump, mistimed drive to mid-off"
"good length, wide outside off, left alone"
"short one climbing away from off stump. He gets under it as he looks to hook. Aerial, but it's wide of deep square. Safe shot in the end, no one in that region. Brings up the <b>100 stand</b>"
"bouncer at middle stump, but too short. Ducks under it comfortably"
"short and in the corridor, gets on top of the bounce and defends into the turf"
"full at middle stump, flicked to deep midwicket"
