"starts with a short of length delivery, worked away towards square leg, off the mark straightaway"
"pitched up, defended towards mid-on"
"<b>oh dear!</b> A contest of who can be more sloppy, and Warrican wins. Hasan had skewed this attempted slog over mid-off and they'd gotten two. Taijul wanted a third that wasn't there. Was running without calling, slipped on the turn when he was sent back and the throw had reached Warrican at this point. But he couldn't gather it. A one-bounce throw."
"length outside off, tapped to cover off the back foot"
"<b>Taijul reviews the lbw decision.</b> Full on off stump, trapped right in front of off stump on the forward defence. Looks a good shout. <b>But Bishoo is likely to have overstepped based on these initial pictures.</b> No, the umpire says there's enough evidence for that to be a fair delivery. That is contentious, but the decision has been made on the no-ball...<b>and the ball is missing leg stump.</b> But Ruchira Palliyaguruge is asking for the pictures again before he declares that not out."
"full outside off, steps out and slices this heave wide of mid-off"
"googly, short of a length outside off. Dabs it to first slip"
<b>on the helmet</b> as he looks to sweep. That was too short for a sweep outside off
"length outside off, steps out and flicks to midwicket"
"length at middle stump, defended off the back foot"
"length outside off, beaten on the outside edge as he gets forward"
"length at off stump, defended off the back foot"
"length at off stump, defended off the back foot"
"length at off stump, defended on the front foot"
"length at off stump, blocked into the covers"
"full on off stump, driven to extra cover"
length ball down leg side. Drops short of Dowrich and rolls through from under him
"short on off stump, solidly defended off the back foot"
"short outside off, chopped straight to backward point"
"length outside off, swats at it and chops towards the keeper"
"length outside off, steers to backward point with an angled bat"
"<b>shot.</b> That is top drawer. Length ball outside off, he's nicely on top of this and puts in a square drive on the up that flies past point"
"length at off stump, defended off the back foot"
"short at middle stump, gets under it and swipes to fine leg's right with a languid pull"
"length at off stump, defended off the back foot"
"full on middle stump, stays tall and launches it over the non-striker. That is authority. This pair has had that over West Indies"
"short of a length on middle stump, guided to fine leg with a pull to <b>bring up 300</b>"
"length outside off, blocked into the covers"
"short outside off, steered to deep backward point"
"length on leg stump, deflects it to fine leg with the angle"
"short and wide outside off, skids under his attempted cut shot"
"length outside off, loses balance as he throws his hands at this. Sliced out to deep point"
<b>through him.</b> Short ball zips in at the waist and is past the inside edge before he can get in position to defend this
"yorker at leg stump, squeezed to deep square's left and he's caught flat-footed. They take the second"
"length outside off, steps out and taps to extra cover"
"tossed up outside off, jammed to extra cover"
"length outside off, defended off the back foot"
"length on middle stump, defended to short leg off the back foot"
"length at off stump, looks to play the reverse sweep but it struck on the thigh. Outside the line of off stump"
"length on middle stump, defended off the back foot"
"short at middle stump, backs away and hurriedly defends into the off side"
short ball rising up at the hips. Gets his front leg up as he looks to steer this fine. Thuds off theglove into the leg stump
"bouncer just outside off, fends at it and is beaten"
"short at off stump, jumps into the leg side and runs it to deep point"
"length at leg stump and into his leg as he shuffles to try and flick. Catches him on the part above his knee that isn't protected by the thigh guard. That'll sting. Or, as Richie Benaud used to say in a popular video game: 'That will be very, very sore in the morning.'"
"length at leg stump, pushed into the leg side"
"length on off stump, defended on the front foot"
length and down leg. Left alone
"short outside off, backs away and cuts past point. <b>That's fifty for the 9th wicket.</b>"
"length at the stumps, defended off the back foot"
"length ball at leg stump, deflected fine off the leg"
"length at off stump, big turn away from the forward defence"
"length at off stump, defended off the back foot"
"short and wide outside off, mistimed cut to extra cover"
"length on off stump, blocked on the front foot"
"full on off stump, gets down on one knee and heaves this through square leg. It's off the toe-end, but it's effective"
"full outside off, driven to short extra"
"short outside off, chopped through point with an angled bat"
"length ball at leg stump, tucked to square leg's left off the back foot"
"length and just outside off, defended into the covers"
length ball angled in at off stump from wide of the crease. Turned to square leg with a closed face
"length at off stump, closes the face on that and changes his mind late. Thick outside edge through cover"
""
"length outside off, looks to punch on the up and is beaten on the outside edge"
"length on off stump, defended to cover on the up"
"length on off stump, poked to point on the up, outside half of the bat"
"length outside off, tapped into the covers"
"yorker at off stump, jams it out from deep in the crease"
"length outside off, mistimed drive on the up to mid-off"
"bouncer rising sharply outside off, wafts from under it and misses"
"length at off stump, tapped down the pitch off the inside half"
"length ball jumps away from the corridor, past the outside edge as he pokes at this"
"full outside off, slices it through cover point"
"length outside off, tapped on the up to mid-off"
"length at off stump, defended off the back foot"
"length outside off, half a stride forward and punched firmly wide of mid-off. Got his weight through this nicely and it sped away"
"length on middle stump, pushed down the pitch off the front foot"
length at middle stump and punched back down the pitch on the up
"short at leg stump, tapped through square leg with a closed face"
"short ball outside off, backs into the leg side and looks to guide it to third man but ends up lobbing it in front of gully. He dives, but that falls short"
"short and rising up at off stump. Backs away and slices from under it, beaten"
"length ball wide outside off, left alone"
"<b>wicket straight away!</b> Gets him with the loop. Lands short of a full length as it drifts in and spins away. Means he's pushing away from the body on the drive and he edges a straightforward one to first slip. A handy innings on debut ends, but he's done more than was asked"
"<b>reviews the lbw decision</b> but I don't see him surviving this if he isn't struck outside the line of off stump. It rips back in from a length outside off and hits him on the back leg as he looks to defend on the back foot. <b>He is struck outside off.</b> So he will survive. Good review but it seems inadvertent - because all players are now walking back, even the batsmen! Everyone thought that was innings change time. Warrican had even taken his hat back and put it on. Comical scenes."
"length on off stump, blocked down the pitch"
<b>another review from the batsman.</b> This time he's caught on the back foot in front of middle and leg. Another length ball spinning into him...<b>and this one is hitting the stumps.</b> He's gone
"full toss, floating away towards the corridor. Hurriedly tapped down the pitch"
"full and in at leg stump, flicked to square leg"
"full and slanted across the corridor, left alone"
"length on off stump, defended watchfully from the back foot"
"short of a length just outside off, slightly squared up as he opens the face and defends into the covers"
short of a length ball slanting towards off stump. Defended down the pitch off the back foot
"tossed up outside off, driven to long-off with the turn"
"length ball down leg side, left alone"
"short and down leg side, left alone"
"full on middle stump, flicked to short midwicket"
length ball keeps slow and skids in towards leg stump. Gets back and squeezes it past leg slip
"full outside off, inside edge onto pad and down the pitch as he defends"
"length at off stump, defended to cover off the front foot"
"length ball slanted away from the corridor, left alone"
"length and just outside off, blocked on the front foot"
"length ball slanted across off, left alone"
"length at off stump, defended off the back foot"
full and in at leg stump. Stands tall and deflects to fine leg with a closed face
"length ball angled in at leg stump, flicked to midwicket"
"full on leg stump, flicked to midwicket"
"length ball turning into leg stump, gets back and tickles it past leg slip. In fact he's got it between his legs. Mahmudullah is nutmegged"
"length outside off, a loose poke away from the body on the front foot"
"<b>Powell reviews the lbw straight away.</b> Has he got bat? Review speed suggests he has. If not, this looks plumb. He's gone back to a length ball. Similar length to the last ball. Wants to defend on the back foot, but this hits him in front of middle on the knee roll. <b>He's got an inside edge on it.</b>"
"length at off stump, blocked on the front foot"
"<b>now a stumping appeal.</b> Powell looks to slam a full ball straight, but it rips past the outside edge. He loses balance and his back leg is raised slightly as Rahim goes for the stumps...<B>and back down when he makes contact.</b>"
"full outside off, pokes on the front foot and is beaten on the outside edge"
"full ball, comes forward to drive to mid-off"
"a bit flatter, cut off the back foot but without any punch behind the shot"
"tossed up, but very full, driven back to mid-on"
"better length that time, drawing the batsman forward to defend."
"gets a bit of turn with that good length, but Brathwaite stretches well forward to smother it in defence"
"rocks back that time to cut off the back foot, but can't get past point. <b>maiden over</b> to start"
skips down the track to turn it away towards square leg with soft hands
stays back to a length ball and defends it from deep inside his crease
oooh sharp turn and bounce. He went deep in his crease again and managed to play it down to square leg
"this is good bowling on a turning track, he's keeping the batsman on his toes. Goes back again to one that he might have been better off forward, and taps it down behind square"
comes forward to that one and defends
flicked behind square again
"slightly short of a length, and he comes down to pat it back to the bowler"
"some turn again from a length, but he stays back to flick it to deep midwicket"
"drifts on leg stump and it turns sharply, played off the back foot to short midwicket"
stays in his crease and defends
"brave looking leave, flatter and outside off, goes along with the angle. He expected it to break away, but it was outside off so didn't threaten"
"<b>sharp turn</b> perfect length, drawing him forward and whizzing past the bat. Mushfiqur collected the ball near chest high"
out comes the sweep and it's well executed. Picked up the length early and sent it crashing to the square leg fence
comes forward and flicks it to deep midwicket that time
takes a step down and smashes it across the line and into the midwicket fence
"<b>beaten</b> got him to stretch forward but the ball dipped and spun through the tiny gap between bat and pad. However, it bounced up sharply, surprising even Mushfiqur. Brathwaite just about survives"
comes forward to wrist it to mid-on
confident stride forward to defend
pitches on a length and fizzes past the outside edge. Big turn again
"down the track, and over the top. If the bowling's troubling then not  a bad idea to take the attack to the bowlers and try to throw them off their lengths. Hits it over mid-off and into the fence"
big stride out and smothered defence
stays back to that one and goes inside his crease to steer it to point
"comes forward but that ball isn't all that full, he manages to keep it down in defence though"
another big stride out to defend
dances down the track to get to the pitch of the ball and defend solidly
nicely smothered down off the front foot again
he's made the bowler drop his length short by coming well forward and he takes advantage by rocking back and cut it powerfully through point for four
down the track again and tapped to long-off
flicked to midwicket off the front foot
"back of a length, he stays back and flicks it, but can't get past the close in field"
"Given out lbw but he's take the review after a discussion with his partner. No bat involved and I think he'll be gone here. And he is - pitched in line, straightened and beat his sweep, hitting in line. Unsuccessful review - and not just that, it's lost West Indies one. Given the way the spinners were getting the ball to turn and spit, an early wicket was always on the cards"
nicely forward to drive to cover with an open face
"<b>past the outside edge</b> itched on a perfect length and it's whistled past the forward defensive prod. That was bowled at 86 kph, so it's sharp turn at a good speed"
stays back to that and clips it to deep midwicket
too full and he comes forward to defend it solidly
""
"<b>brilliantly done!</b> Completely foxes Shai Hope. Lobs this up, nice and loopy outside leg stump. Hope wants to drive against the turn but is not anywhere close to the pitch of the ball. It spins past his bat and hits leg stump"
"length at off stump, dead-batted on the front foot"
<b>dropped!</b> Rahim can't hold onto as Ambris follows a length ball with his hands outside off. It goes off the glove and he's caught off guard
"full on leg stump, flicked to midwicket"
length all angled in at leg stump. Backs away and stabs into the covers
"<b>caught at first slip!</b> is Shakib spewing fire after delivery? Because West Indies look genuinely afraid of getting anywhere near the ball. Another slow, loopy one at off stump. Brathwaite gets forward and pushes at it but is falling over because he isn't close. Hits the high part of the bat and gently lobs for the fielder"
<b>hits the back thigh</b> as he looks to defend on the middle stump. It rips past the outside edge
"length at the stumps, tapped away from the crease"
"length outside off, dead-batted on the front foot"
"length outside off, blocked on the front foot"
"full on off stump, blocked on the front foot"
"full outside off, defended into the covers"
stays back and turns it to deep midwicket from well inside the crease
"tossed up, ends up very full, turned to mid-on's right"
""
"tossed up on leg stump, Ambris resists the temptation that Hope had of stepping out, turns it from the pads to square leg"
"back of a length, stays back and punches it back to the bowler"
"drops it short, and that's put away nicely. Stayed back and flick-pulled it to the deep midwicket fence"
"tossed up on off, he comes forward and drives to cover"
""
"oooh, had him guessing the length there. Drifts down leg and dips and turns, he stayed in his crease and defended, but no foot movement"
tossed up but nicely caressed into the off side towards cover
"flatter and on off, stays in his crease and defends with soft hands, a thick outside edge rolls away"
"more full, defended off the front foot"
"stride forward but not quite to the pitch of the ball, pushes it to mid-off"
"tossed up and in the slot, but he doens't connect well with the big drive. To short cover"
"tossed up again, driven to mid-off"
"tossed up again on the stumps, defended with an angled bat"
"good length, draws him forward. Big stride out and defended"
stays back to that one and defends from the crease back to the bowler
"floated outside off and he shoulders arms, lets it go through"
"too short outside off and turning away, but the length allows him to stay back and cut it through point for a boundary"
"tossed up on the stumps, he gives himself room and drives it back to the bowler"
"good length and spinning away from the batsman, he stays back and defends"
"quicker one, caught him on the crease, but he brought his bat down in time to get a thick edge that rolled to slip."
"tossed up but a touch too full, and he drives fluently down to long-off"
"fuller length, driven down to long-on"
"length ball on off, he comes well forward to smother it in defence"
drops it a bit short and turning into the batsman. His initial movement was forward but adjusts well to tuck it to square leg
too full and he unfurls a sweep that connects superbly and sends the ball rocketing to the square leg fence
"tossed up on off, defended to point"
"length ball on the stumps, goes well back and whips it away to midwicket"
"floated up on the stumps, he stays back to this and defends"
"good length on the stumps, defended back to the bowler"
"tossed up and very full, he drives fluently but straight to short cover"
"<b>dropped</b> went to sweep it but didn't connect well and it got the top edge that went to deep square leg. Mustafizur ran in and got hands to it, but was never in control and it spilled out"
comes forward and defends solidly
"good length, draws him forward but he opens the face of the bat to steer it down to third man. And that will be <b>lunch</b>"
"<b>wow.</b> Ambris looks to slog first ball. Length outside off, heaves at it as it rips past off stump"
"full on leg stump, gets forward and tickles it fine"
"length at off stump, driven to extra cover"
"length outside off, inside edge to backward square as he gets forward to defend"
"full outside off, blocked on the front foot"
"full on leg stump, driven to mid-on's left"
"length on off stump, defended off the back foot"
"full on middle stump, driven with the turn to long-off"
"full outside off, driven to long-off"
"full outside off, driven with the turn to sweeper cover"
"length outside off, driven to sweeper"
"length outside off, beaten on the outside edge"
"length at off, defended on the front foot"
"length at off, blocked on the front foot"
"length on leg stump, flicked to midwicket"
"full outside off, driven to deep mid-off"
"full outside off, driven straight to short extra"
"length outside off, punched to sweeper cover"
"length outside off, left alone"
"full at off stump, defended to extra cover"
"full on off stump, driven to long-off"
"length outside off, defended to short third man"
"length outside off, left alone"
"floated up full and wide outside off, left alone"
"length outside off, dead-batted into the covers"
"short of a length outside off, punched to sweeper cover"
"full outside off, blocked on the front foot"
"full on off stump, off the leading edge and past silly point as he closes the face on this forward push"
"full on off stump, defended into the off side"
"length at leg stump, clipped uppishly to mid-on's right off the back foot"
"<b>just gets it over short cover.</b> Tossed up high outside off, draws him into the drive and beats him in flight. But he manages to evade the fielder"
<b>Ambris reviews the lbw immediately.</b> he's looking to sweep that full ball from the stumps and is trapped right in front. But that has come off the glove and he survives. Another poor shot option though
"length outside off, taps to mid-on, against the turn"
"short and wide outside off, cut to backward point"
"length outside off, left alone"
"tossed up full outside off, driven to short extra"
"<B>rips it back in</b> from outside off, and catches him on the pad outside the line of off"
"shot. This is tossed up full and wide outside off, he gets low and sweeps hard to find the square leg boundary"
"short of a length on leg stump, defended off the back foot"
"full on middle stump, defended down the pitch"
length ball spining into the pads from a middle stump line. Cops it on the pads as he looks to whip into the leg side
"length outside off, turning back into the pad as he looks to defend. Struck outside the line"
""
"length and wide outside off, left alone"
"length at off, blocked on the front foot"
"length outside off, flicked to mid-on's right off the back foot"
"length at off stump, blocked on the front foot"
"short and wide outside off, mistimed back foot punch comes right off the toe-end. Too early into that shot"
"full outside off, flicks to midwicket"
length ball pitching on leg and spinning down leg. Left alone
"<b>two appeals turned down.</b> First for the lbw, as Ambris steps out and looks to flick from outside off. Then for catch as slip dives to catch the loopy deflection"
"length outside off, struck on the pad outside the line as he looks to flick"
"<b>bit of confusion here.</b> Aleem Dar hasn't <strike>made a decision</strike> sent this stumping appeal upstairs initially. Does it belatedly - because it appears Bangladesh have reviewed it for stumping. This length ball pitched on leg and ripped down leg side. Ambris ran down and missed, Rahim couldn't get the bails on the first attempt and that has saved Ambris. He's also safe on the caught behind. <b>Bangladesh lose a review.</b> Real confusion there because it looks like they've reviewed a square leg umpire decision, which is rare, if not unprecedented."
"length on off stump, tapped on the front foot"
"length outside off, pushed into the covers"
"length outside off, driven to sweeper cover"
"tossed up outside off, driven to sweeper cover"
"full outside off, beaten on the front foot"
"full and down leg side, looks to sweep, is through the shot too early"
"short of a length outside, under-edges a punch into the covers"
"<b>taken at short leg.</b> Length at leg stump, jabs at it with hard hands. Gets an inside edge onto pad and it is taken easily"
"length outside off, blocked on the front foot"
"short and wide outside off, backs into the off side and uses his wrists to close the face and pull this to the midwicket boundary"
"length outside off, draws him forward and it spins away as he leaves this late"
"length and wide outside off, left alone"
"short of a length on off stump, defended off the back foot"
"length at off stump, dropped into the covers off the back foot"
"length ball spins down leg side, too far away from the bat and Mushfiqur as well"
"length at middle stump, flicked to short fine off the back foot"
"length outside off, drags it out aerially to deep square with the turn"
"full outside off, driven with the turn to sweeper's left"
"full outside off, dead-batted down the pitch"
"full outside off, thick outside edge as he gets forward to defend. It lands short of second slip"
"short and wide outside off, punched to sweeper cover"
"length at leg stump, tapped to midwicket"
"length at leg stump, looks to flick, cops it on the pad"
"<b>another review for lbw.</b> Ambris is trapped on the back foot by a ball that turns in rapidly from outside off. But has it come back enough to hit him in line? It's the back pad as he is moving onto the back foot...<b>impact umpire's call.</b> He is marginally in line. The review stays, but Ambris' stay is done after a long struggle."
"full outside off, reaches the pitch and drives against the turn to mid-off's left"
"length outside off, steps out and drags it off the inside half to deep square"
"length outside off, draws him forward and cuts it past the bat as he goes forward"
"full outside off, driven to extra cover with the turn"
"length outside off, driven uppishly straight into the silly point fielder's right bicep"
"length ball pitches middle, climbs and lifts past the back foot defence to hit the back thigh. That was probably missing off"
"full at leg stump, steps out and flicks to square leg"
"full outside off, looks to crunch it through cover. Gets a thick outside edge through point. Sweeper cover cleans up"
"length outside off, pushed through fast and spinning away quickly as he looks to get forward"
"short outside off, gets back quickly and pulls firmly to mid-on's left. He puts in a dive and can't get to it"
"length outside off, drops in front of slip as he gets forward to defend"
"full outside off, drives with the turn to long-off"
"full on middle stump, gets forward and drags this to deep midwicket's left with a half-slog"
"length on leg stump, defended off the back foot"
"length on middle stump, gets down the pitch and drills it high over midwicket"
"<b>over square leg now!</b> And with a super flourish. Full on leg stump, right under that and a simple swipe to clear the boundary comprehensively"
"full on middle, driven to long-on"
"full outside off, driven to extra cover"
"length outside off, left alone"
"ooh big turn again. Spins right across him and hits his back leg. Muted appeals, but no review. Hawkeye confirms that would have missed off."
"fractionally back of a length, and he's quick to transfer weight back and cut it powerfully to point"
"strays down leg, he moved across and tried to flick it but missed it altogether"
goes on the front foot and drives fluently through extra cover for a couple
""
comes forward to defend
"goes for the big heave from down on one knee but doesn't make connection. Spins past his bat. Bad choice of shot, even if he had connected."
"good length, he comes forward and pushes it into the covers"
"tossed up on the stumps, and driven to mid-off"
"tossed up on the stumps again, this time driven back to the bowler"
"slightly flatter and quicker, turned to midwicket off the front foot"
"strays down leg  and a touch too full, allowing the sweep to come into play. Didn't try to hit it too hard, and the ball rolls towards the fine leg fence before it's gathered by the man running back"
"very full on the stumps, driven to long-off"
"slightly back of length on the stumps and spinning, but short enough to transfer weight back and pull to deep midwicket"
comes forward and steers it to point by opening the bat face
stays back to one floated outside off and cuts to point
"pierces the gap in the offside that time, getting it between point and cover"
"tossed up on the stumps, driven to mid-off"
"big stride forward to defend, the ball rolls away off a thick inside edge"
"<b>goes for it and just over long-on</b> went down on one knee to slog-sweep it. got the elevation but not the distance. Long-on was standing inside the ropes, just cleared him and went into the boundary"
""
""
"good length on the stumps, comes forward to defend with bat and pad close together"
committed to the front foot early but the ball was pitched up and he defends it easily enough in the end
comes well forward to defend.
comes down the track and drives it straight back to the bowler
"well tossed up outside off, driven with a free-flowing bat to extra cover"
"flatter and shorter, Hetmyer is onto it in a flash. Rocks back and cuts it through point. Went deep inside his crease there"
"and now he steps out and hits it inside out, over long-off for six. Hit it well enough to sail over the fence, despite not timing it perfectly"
"he's been forced to change tack and go over the wicket, and immediately draws the edge, spinning it away from the left-hander. Hetmyer came forward to defend, the ball rolled to slip off the edge"
floated up on the stumps and driven to long-on. <b>Fifty-run stand</b>
"slightly short, he goes on the back foot and chops it away to point"
"floated up, he comes forward to defend"
"swept fine. Got the placement right, if not the execution. Went down to sweep, got a bit of a top edge ,but the ball landed safely and went to fine leg"
"too short, getting some turn but he's able to comfortably pat it away to mid-on"
punched to long-on
"on target, on the stumps, defended off the front foot"
"too short, allows him to slap it through cover"
"too short again, he goes back and pulls to deep midwicket"
"tossed up on the stumps, he makes room and drives to cover"
"length ball on the stumps, spinning away, punched to mid-off"
"a touch short again, and he goes on the back foot and hits with the turn through cover"
"way too short and straying down leg, easily pulled to the deep square leg fence"
"better length, brings him forward to defend"
"tossed up outside off, driven through extra cover"
"back of a length on the stumps, he goes deep inside his crease again and cuts it to the left of point"
"nice length, tossed up and dipping, but he comes forward and gets to the pitch of the ball to defend"
"Oh that's gone through. And <b>five penalty runs</b> because it's hit the helmet that was behind the keeper. It beat the batsman's drive and flipped the pad. Mushfiqur was too busy appeal to collect the ball, and it hits the helmet that's behind him."
"too short again and spinning down leg, he gets some glove on that and sends it very fine"
patted back to the bowler
"tossed up but drifting on the pads, easily tapped to midwicket for a single"
"too short again, and Hetmyer rocks back to pull powerfully to midwicket. <b>Fifty</b> for Hetmyer off just 43 balls. Fine counter-attacking innings that's revived West Indies somewhat after the early collapse"
"<b>just clears mid-off</b> tossed up and he went for the drive, didn't get hold of it. Mid-on went airborne to his left. Maybe the ball brushed his fingertips. Doesn't alter it's course and it's a boundary"
"<b>nothing half-hearted about that!</b> Steps out and absolutely smashes it over long-on. He's not allowed the last ball to play on his mind, and that is why he's made the runs he has - it's been a feature all innings long"
""
defended off the front foot
"mis-judged that! stayed back and the ball popped off the outside edge of the bat, but there was no fielder at silly mid-on"
""
very full and driven gently to extra cover
a touch short but he doesn't connect well with that back foot pull that has served him well. Only gets it as far as short midwicket
"given air on the stumps, he comes forward and defends"
"on a length spinning into him, he turns it to short fine leg"
"<b>smashed</b> Comes down the track and meets the ball perfectly, sends it straight and true, over long-on. Dowrich doing a Hetmyer"
"fuller ball, pushed to midwicket"
"too short, allows him to stay back and cut past backward point for a couple"
"<b>beautifully bowled</b> That had flight, dip, turn - everything a spinner wants. Drew him forward, landed perfectly and spun just enough to take his outside edge and nestle into the keeper's gloves. The end of a fine innings."
"too short outside off, allows him to transfer weight back and punch towards cover, but the ball pings off the ankle of the man at silly point. Painful blow for Imrul Kayes, and he's limping off the field now with his shoe off."
"too short again, steered to point off by opening the bat face"
"more full, defended off the front foot"
"very full, comes forward to drive to point's right"
tried to drive that but it goes off the inside edge onto pad
sweeps hard but straight to square leg
""
"too short on the pads, flicked to deep square leg"
"too short, punched back to the bowler"
driven to mid-off
"full and wide outside off, he gets down on one knee to slap it to long-on"
"tossed up on the stumps, comes forward to defend to the leg side"
stays back to this length ball and defends from the crease
"too short, on the pads, turned to fine leg"
"good length on the stumps, forces him to present a straight bat in defence"
"another good ball. Spits up off a length and turns sharply past the batsman. Was pitched on off, and he half came forward to defend but had to drop his gloves and let the ball whizz through"
""
"tossed up on the stumps, steered to point and they take a quick single"
"good length, brought him forward but dipped on him, the ball goes inthe air off the inside edge, but just eludes the fielder at short leg"
"stays back to this, though it's fuller and turns it to short fine leg off his pads"
"steps down the track and gets to the pitch of the ball, pushes it back to the bowler"
"gets him to take a big stride out to defend, but the ball bounced a bit and took the top of the bat"
"a touch too full, and driven to long-off"
"too short, he goes back and tries to flick it with the spin, but the ball can't go further than the man at short leg, bounces off him. Wasn't hit hard though, so no damage. And that will be <b>tea</b>"
"length ball sliding outside off, beaten on the late cut"
"full on leg stump, swept to long leg's right"
"short and wide outside off, cut to sweeper cover off the back foot"
"full on leg stump, swept to deep square"
"full on off stump, defended to point off the outside half"
"full on off stump, driven to extra cover"
"length at off stump, blocked on the front foot"
"full on middle stump, swept along the floor to deep square"
"length on off stump, blocked on the front foot"
"<b>inside edge</b> past short leg. Length at middle stump, looks to defend and is done by the extra bounce. Too quick for short leg to his right"
shot. Won't let this bounce and turn. Down the track to meet it at the pitch and he drills it flat over the bowler
"full at leg stump, flicked to midwicket"
length ball dipping on off stump and climbing past the outside edge as Bishoo comes down late on the forward press
"full on middle stump, gets low and sweeps to deep square leg's right"
"<b>caught in front!</b> Bishoo has been sweeping adventurously and it'll cost him this time. Length ball skids on and hits him in on the back thigh in front of middle stump, He was through the shot with the front leg outside leg stump"
"<b>massive turn</b> to beat everyone. Short of a length outside off from over the wicket, Roach shapes to punch through cover but this cuts through him and climbs over the stumps before beating Rahim"
"full and wide outside off, driven to long-off's left"
"<b>lbw decision reviewed by Roach.</b> Caught on the back foot against a ball spinning big and into him. He was looking to defend, but that was a long way past the inside edge. However, he is right in front middle and very deep in the crease. This is hitting leg stump. West Indies are out of reviews. Roach is gone and Nayeem is one wicket away from a debut five-for"
"full on off stump, driven towards long-off off the toe end of the bat"
length ball turning in sharply to leg stump. Hurriedly poked to square leg on the up
"short of a length and climbing up at the hips. Goes on the back foot and fends at it. Off the glove, into the thigh and lands safely between short leg and leg slip"
"length at middle stump, defended off the back foot"
"length on the pads, pings off the pad to short leg"
"full outside off, thick outside edge rolls past slip as he looks to defend on the front foot"
"full outside off, steps out and drives with the turn to long-on"
short and cutting in at off stump. Backs away and slices it through the open point region
"length, wide outside off. Jabs hard at it and it flies past short leg off the thick inside edge"
"length on leg stump, whipped to deep midwicket's right off the back foot"
length and spinning in at leg stump. Backs away and nudges it through cover
"length ball pushed down leg side, beaten on the flick"
"<b>dropped at short leg.</b> Length ball at leg stump, swishes at it and gets a thick inside edge that flies towards the helmet and he can't react quickly enough"
"length outside off, pushed to cover on the up"
short and just outside off. Backs away and chops it through point
"length at leg stump, defended off the back foot"
"full on leg stump, flicked to deep midwicket"
"short on middle stump, gets back and whips it to deep midwicket"
"length on middle stump, blocked off the inside half"
"length on off, defended off the inside half"
"short of a length down leg side, gets deep in the crease and deflects it fine off the thigh"
"length on off, defended off the back foot"
"length on leg stump, flicked to backward square leg"
"length on off stump, tapped into the off side"
""
"full outside off, driven to extra cover against the turn"
"length at off stump, defended off the back foot"
"short of a length outside off, tapped to extra cover's left off the back foot"
"length on off stump, blocked on the front foot"
"length outside off, beaten on the forward defence. That gets big on Rahim too, he collects at chest height after some assistance from helmet grille. Not out on the catch behind appeal"
"length outside off, blocked on the front foot"
"length at middle stump, defended off the back foot"
"full on off stump, flicked back to the bowler"
"length ball on leg stump, spins down leg as he leaves"
"short of a length outside off, chopped through the open point region"
short and down leg side. Looks to pull. It comes off his pad and Rahim collects
"length outside off, beaten on the outside edge as he presses forward. Once again, that gets big on the keeper"
"full on off stump, defended on the front foot"
"length on off, blocked into the covers"
"full on off stump, squeezed into the covers off the outside half of the bat"
"length outside off, thick outside edge past slip that runs to backward point's left"
"length at off stump, dead-batted into the off side"
"full outside off, driven to deep mid-off"
"<b>through the defence</b> and that's a five-for on debut for 17-year-old Nayeem Hasan. What a match he's having. Length ball dips rapidly outside off, lands on a length and zips past the inside edge of the angled bat to hit top of middle and off."
"length on leg stump, spinning  in sharply and past his inside edge. Lobs up to short leg off the pad"
"full outside off, blocked on the front foot"
"length outside off, blocked on the front foot"
"length on off stump, defended off the back foot"
"full on off stump, dead-batted down the pitch"
"short and wide outside off, gets on the back foot and clatters it straight to sweeper cover"
"full on off stump, leans in and goes inside-out over extra over to come back for the second. <b>Another fighting fifty from Dowrich</b>"
"yorker length at leg stump. Looks to drive through off, gets an inside edge past keeper"
"full outside off, driven to sweeper cover"
"length outside off, beaten on the outside edge as he looks to defend"
"nicely done. Full outside off, gets low and whips under this with a reverse sweep. No one back there at third man"
"<b>smoked it!</b> Huge from Dowrich. Length ball on middle stump, gets down and gets the front leg into the leg side to make room before slaughtering this with a slog sweep"
"length and in at off stump, defended into the pitch off the back foot"
"length ball pushed through flat at middle stump, clipped to deep midwicket off the back foot"
"length at off stump, defended into the leg side off the back foot"
"length at middle stump, blocked on the front foot"
"full on off stump, blocked into the covers"
"length at middle stump, gets on the back foot and punches to deep midwicket's left"
"length on off stump, punched back down the pitch"
"<b>swipes it way over wide long-on!</b> Can't say he's known to be a defensive batsman when he has a frontline batsman as partner. Tossed up outside off, big stride, big slog"
"length outside off, defended into the covers"
"<B>taken at slip.</b> Dowrich took the gamble, it hasn't worked. To add to the statement after the six, Gabriel isn't known for playing out the last ball of an over either. Jabs at this on the front foot, it spins away, and it is straightforwad for Mahmudullah"
"back of a length outside off, and punched through cover point straight away for runs"
"too full on the stumps, and driven back past the bowler with the full face of the bat"
"airy waft, and he's beaten. Got the length better that time and kept it in the corridor. Careless shot, but he's not made contact so he survives."
punched off the back foot to cover
"<b>beautiful shot</b> leans into the straight drive and sends it purring to the long-on fence. The ball was too full and there to be hit, and he did it pleasingly"
"expensive first over, very loose from Roach. Soumya pulls this short ball to deep midwicket for another boundary."
"on a good length on the stumps, defended carefully"
"too full and straying on the pads, he's picked him off to deep midwicket with a nicely timed flick"
"too full again, and he comes on the front foot to drive to long-on"
"better length, driven but without conviction and the bowler runs across to stop stop it with his foot"
"<b>cleaned him up!</b> nicely tossed up outside off, and turns appreciably to go through the big gap between pad and the airy waft of the bat. Shatters timber. West Indies are not out of this yet."
